# t(min)  I
   0.33   1.5585e+00
   0.67   1.4858e+00
   1.00   1.5728e+00
   1.33   1.5935e+00
   1.67   1.4875e+00
   2.00   1.5290e+00
   2.33   1.6523e+00
   2.67   1.9099e+00
   3.00   1.5305e+00
   3.33   1.5792e+00
   3.67   1.4802e+00
   4.00   1.4600e+00
   4.33   1.4100e+00
   4.67   1.4431e+00
   5.00   1.5050e+00
   5.33   1.5228e+00
   5.67   1.4998e+00
   6.00   1.5222e+00
   6.33   1.5975e+00
   6.67   1.5721e+00
   7.00   1.5312e+00
   7.33   1.4290e+00
   7.67   1.4309e+00
   8.00   1.4780e+00
   8.33   1.3618e+00
   8.67   1.3682e+00
   9.00   1.3439e+00
   9.33   1.4413e+00
   9.67   1.6574e+00
  10.00   1.7003e+00
  10.33   1.3477e+00
  10.67   1.3388e+00
  11.00   1.4676e+00
  11.33   1.3728e+00
  11.67   1.3195e+00
  12.00   1.2537e+00
  12.33   1.2615e+00
  12.67   1.2981e+00
  13.00   1.2721e+00
  13.33   1.2841e+00
  13.67   1.3490e+00
  14.00   1.2734e+00
  14.33   1.1824e+00
  14.67   1.2571e+00
  15.00   1.3223e+00
  15.33   1.3073e+00
  15.67   1.2598e+00
  16.00   1.2540e+00
  16.33   1.1915e+00
  16.67   1.1863e+00
  17.00   1.2655e+00
  17.33   1.2445e+00
  17.67   1.2287e+00
  18.00   1.1430e+00
  18.33   1.1427e+00
  18.67   1.1770e+00
  19.00   1.2350e+00
  19.33   1.1970e+00
  19.67   1.1891e+00
  20.00   1.2541e+00
