# t(min)  I
   0.33   1.6590e+00
   0.67   1.6575e+00
   1.00   1.5919e+00
   1.33   1.5939e+00
   1.67   1.5874e+00
   2.00   1.5387e+00
   2.33   1.5486e+00
   2.67   1.5143e+00
   3.00   1.4765e+00
   3.33   1.4294e+00
   3.67   1.4663e+00
   4.00   1.5474e+00
   4.33   1.5192e+00
   4.67   1.4846e+00
   5.00   1.3697e+00
   5.33   1.3572e+00
   5.67   1.3720e+00
   6.00   1.3602e+00
   6.33   1.3910e+00
   6.67   1.3286e+00
   7.00   1.3091e+00
   7.33   1.2852e+00
   7.67   1.2937e+00
   8.00   1.2737e+00
   8.33   1.2483e+00
   8.67   1.2468e+00
   9.00   1.1942e+00
   9.33   1.1979e+00
   9.67   1.2128e+00
  10.00   1.2202e+00
  10.33   1.1767e+00
  10.67   1.1426e+00
  11.00   1.1382e+00
  11.33   1.1425e+00
  11.67   1.1162e+00
  12.00   1.1054e+00
  12.33   1.1039e+00
  12.67   1.0530e+00
  13.00   1.0550e+00
  13.33   1.1020e+00
  13.67   1.1891e+00
  14.00   9.8685e-01
  14.33   9.8912e-01
  14.67   1.0308e+00
  15.00   9.9952e-01
  15.33   1.0889e+00
  15.67   1.0256e+00
  16.00   9.9240e-01
  16.33   9.7318e-01
  16.67   9.2371e-01
  17.00   9.4190e-01
  17.33   9.1712e-01
  17.67   9.0241e-01
  18.00   9.0143e-01
  18.33   8.9411e-01
  18.67   8.9953e-01
  19.00   8.6192e-01
  19.33   8.6352e-01
  19.67   8.8189e-01
  20.00   1.0575e+00
