# t(min)  I
   1.68   1.6900e+00
   2.68   1.5800e+00
   3.68   1.4200e+00
   4.68   1.4300e+00
   5.68   1.3800e+00
   6.68   1.3300e+00
   7.68   1.3500e+00
   8.68   1.2900e+00
   9.68   1.2600e+00
  10.68   1.2800e+00
  11.68   1.2700e+00
  12.68   1.2300e+00
  13.68   1.2400e+00
  14.68   1.2400e+00
  15.68   1.2400e+00
  16.68   1.2200e+00
  17.68   1.2200e+00
  18.68   1.2000e+00
  19.68   1.1700e+00
  20.68   1.1600e+00
  21.68   1.1500e+00
  22.68   1.1500e+00
  23.68   1.1600e+00
  24.68   1.1200e+00
  25.68   1.0900e+00
