# t(min)  I
   0.17   3.4456e+00
   0.33   3.3257e+00
   0.50   3.2226e+00
   0.67   3.0054e+00
   0.83   2.9249e+00
   1.00   2.8373e+00
   1.17   2.6814e+00
   1.33   2.5164e+00
   1.50   2.4857e+00
   1.67   2.2401e+00
   1.83   2.1742e+00
   2.00   2.0266e+00
   2.17   1.9467e+00
   2.33   1.8877e+00
   2.50   1.7416e+00
   2.67   1.6572e+00
   2.83   1.5863e+00
   3.00   1.4738e+00
   3.17   1.3844e+00
   3.33   1.3405e+00
   3.50   1.3219e+00
   3.67   1.2641e+00
   3.83   1.1252e+00
   4.00   1.0874e+00
   4.17   1.0062e+00
   4.33   9.7755e-01
   4.50   9.2676e-01
   4.67   8.8963e-01
   4.83   8.0518e-01
   5.00   8.1174e-01
   5.17   7.4383e-01
   5.33   6.7907e-01
   5.50   6.7871e-01
   5.67   6.5059e-01
   5.83   6.1683e-01
   6.00   6.0054e-01
   6.17   6.0021e-01
   6.33   5.7864e-01
   6.50   5.1614e-01
   6.67   5.2079e-01
   6.83   4.6642e-01
   7.00   4.2605e-01
   7.17   4.2055e-01
   7.33   3.7392e-01
   7.50   3.6327e-01
   7.67   3.6992e-01
   7.83   3.8429e-01
   8.00   3.5462e-01
   8.17   2.9859e-01
   8.33   2.8035e-01
   8.50   2.8409e-01
   8.67   3.3857e-01
   8.83   2.5774e-01
   9.00   2.5689e-01
   9.17   2.5698e-01
   9.33   2.2156e-01
   9.50   2.1287e-01
   9.67   1.9538e-01
   9.83   1.9897e-01
  10.00   1.6963e-01
