# t(min)  I
   0.17   2.0316e+00
   0.33   1.9571e+00
   0.50   1.9145e+00
   0.67   1.9186e+00
   0.83   1.8728e+00
   1.00   1.8664e+00
   1.17   1.7530e+00
   1.33   1.7377e+00
   1.50   1.6825e+00
   1.67   1.7090e+00
   1.83   1.6359e+00
   2.00   1.6510e+00
   2.17   1.6820e+00
   2.33   1.5668e+00
   2.50   1.5637e+00
   2.67   1.5431e+00
   2.83   1.4464e+00
   3.00   1.4713e+00
   3.17   1.4544e+00
   3.33   1.4436e+00
   3.50   1.4471e+00
   3.67   1.3632e+00
   3.83   1.3856e+00
   4.00   1.3882e+00
   4.17   1.2894e+00
   4.33   1.2297e+00
   4.50   1.2049e+00
   4.67   1.1871e+00
   4.83   1.1725e+00
   5.00   1.2331e+00
   5.17   1.1768e+00
   5.33   1.1006e+00
   5.50   1.0853e+00
   5.67   1.0646e+00
   5.83   1.0693e+00
   6.00   1.0039e+00
   6.17   1.0040e+00
   6.33   9.4404e-01
   6.50   9.6081e-01
   6.67   9.3925e-01
   6.83   9.0313e-01
   7.00   8.9488e-01
   7.17   8.6832e-01
   7.33   8.2935e-01
   7.50   8.2867e-01
   7.67   8.0615e-01
   7.83   8.0106e-01
   8.00   7.8743e-01
   8.17   7.8966e-01
   8.33   7.6548e-01
   8.50   7.4435e-01
   8.67   7.2053e-01
   8.83   7.0053e-01
   9.00   6.8055e-01
   9.17   6.8054e-01
   9.33   6.6697e-01
   9.50   6.2017e-01
   9.67   5.9774e-01
   9.83   5.9421e-01
  10.00   6.2606e-01
  10.17   6.1342e-01
  10.33   6.2933e-01
  10.50   5.8121e-01
  10.67   5.3969e-01
  10.83   5.5671e-01
  11.00   5.1217e-01
  11.17   5.1229e-01
  11.33   5.3380e-01
  11.50   5.0822e-01
  11.67   4.6359e-01
  11.83   4.6352e-01
  12.00   4.4754e-01
  12.17   4.5685e-01
  12.33   4.5291e-01
  12.50   4.2747e-01
  12.67   4.4399e-01
  12.83   4.5035e-01
  13.00   4.2350e-01
  13.17   3.7043e-01
  13.33   3.5515e-01
  13.50   3.7746e-01
  13.67   3.9357e-01
  13.83   3.9853e-01
  14.00   3.8580e-01
  14.17   3.8525e-01
  14.33   3.9007e-01
  14.50   3.3150e-01
  14.67   3.2597e-01
  14.83   3.5087e-01
  15.00   3.5658e-01
  15.17   3.3365e-01
  15.33   3.3434e-01
  15.50   3.3034e-01
  15.67   2.9918e-01
  15.83   2.8818e-01
  16.00   3.0942e-01
  16.17   3.2563e-01
  16.33   3.2977e-01
  16.50   2.9049e-01
  16.67   2.8863e-01
  16.83   2.7769e-01
  17.00   2.7396e-01
  17.17   2.7562e-01
  17.33   2.4516e-01
  17.50   2.4611e-01
  17.67   2.6128e-01
  17.83   2.4236e-01
  18.00   2.3530e-01
  18.17   2.3364e-01
  18.33   2.4231e-01
  18.50   2.3719e-01
  18.67   2.2169e-01
  18.83   2.2926e-01
  19.00   2.2026e-01
  19.17   2.1170e-01
  19.33   2.1667e-01
  19.50   2.2890e-01
  19.67   2.5453e-01
  19.83   2.3472e-01
  20.00   1.9091e-01
