# t(min)  I
   0.17   1.2730e+01
   0.33   1.2270e+01
   0.50   1.1305e+01
   0.67   1.1761e+01
   0.83   1.1316e+01
   1.00   1.0456e+01
   1.17   1.0837e+01
   1.33   1.1274e+01
   1.50   1.0213e+01
   1.67   9.9094e+00
   1.83   1.0159e+01
   2.00   1.0415e+01
   2.17   9.7274e+00
   2.33   8.5232e+00
   2.50   8.9180e+00
   2.67   9.5765e+00
   2.83   1.0194e+01
   3.00   9.7020e+00
   3.17   8.8824e+00
   3.33   8.5803e+00
   3.50   8.5073e+00
   3.67   9.0208e+00
   3.83   8.6543e+00
   4.00   7.9761e+00
   4.17   7.7447e+00
   4.33   8.1290e+00
   4.50   8.4672e+00
   4.67   8.3336e+00
   4.83   7.5199e+00
   5.00   6.6769e+00
   5.17   7.1086e+00
   5.33   7.3926e+00
   5.50   7.5146e+00
   5.67   7.3560e+00
   5.83   6.9280e+00
   6.00   6.8925e+00
   6.17   6.9146e+00
   6.33   6.4667e+00
   6.50   6.4578e+00
   6.67   6.5252e+00
   6.83   6.8192e+00
   7.00   6.5137e+00
   7.17   6.2727e+00
   7.33   5.7098e+00
   7.50   6.1709e+00
   7.67   5.9821e+00
   7.83   5.8084e+00
   8.00   5.7614e+00
   8.17   5.4319e+00
   8.33   5.3722e+00
   8.50   5.0270e+00
   8.67   5.1104e+00
   8.83   5.1601e+00
   9.00   5.1621e+00
   9.17   4.9428e+00
   9.33   5.0949e+00
   9.50   4.6578e+00
   9.67   4.7181e+00
   9.83   4.7208e+00
  10.00   4.7653e+00
  10.17   4.5514e+00
  10.33   4.2697e+00
  10.50   4.1758e+00
  10.67   4.2049e+00
  10.83   4.0358e+00
  11.00   3.8203e+00
  11.17   4.0455e+00
  11.33   4.0500e+00
  11.50   4.0084e+00
  11.67   3.8923e+00
  11.83   3.8460e+00
  12.00   4.0136e+00
  12.17   3.6477e+00
  12.33   3.7606e+00
  12.50   3.6176e+00
  12.67   3.5233e+00
  12.83   3.4400e+00
  13.00   3.3377e+00
  13.17   3.2285e+00
  13.33   3.2044e+00
  13.50   3.1033e+00
  13.67   3.1648e+00
  13.83   3.0719e+00
  14.00   2.9405e+00
  14.17   2.9218e+00
  14.33   2.8670e+00
  14.50   3.0467e+00
  14.67   2.9361e+00
  14.83   2.7915e+00
  15.00   2.7794e+00
  15.17   2.7409e+00
  15.33   2.6638e+00
  15.50   2.6747e+00
  15.67   2.6650e+00
  15.83   2.5483e+00
  16.00   2.6781e+00
  16.17   2.4443e+00
  16.33   2.3522e+00
  16.50   2.3578e+00
  16.67   2.3959e+00
  16.83   2.3288e+00
  17.00   2.2982e+00
  17.17   2.2382e+00
  17.33   2.2341e+00
  17.50   2.1751e+00
  17.67   2.1608e+00
  17.83   2.1881e+00
  18.00   2.1591e+00
  18.17   1.9993e+00
  18.33   2.0773e+00
  18.50   2.1188e+00
  18.67   1.9768e+00
  18.83   1.9912e+00
  19.00   1.9703e+00
  19.17   1.8956e+00
  19.33   1.9302e+00
  19.50   1.8786e+00
  19.67   1.8669e+00
  19.83   1.8593e+00
  20.00   1.8733e+00
