# t(min)  I
   0.17   1.2494e+00
   0.33   1.2585e+00
   0.50   1.2563e+00
   0.67   1.2543e+00
   0.83   1.2172e+00
   1.00   1.2164e+00
   1.17   1.2055e+00
   1.33   1.1675e+00
   1.50   1.1293e+00
   1.67   1.1741e+00
   1.83   1.1436e+00
   2.00   1.0770e+00
   2.17   1.0512e+00
   2.33   1.0491e+00
   2.50   1.0423e+00
   2.67   1.0508e+00
   2.83   1.0660e+00
   3.00   1.0408e+00
   3.17   9.9940e-01
   3.33   1.0091e+00
   3.50   9.6956e-01
   3.67   9.2631e-01
   3.83   9.3607e-01
   4.00   8.6421e-01
   4.17   8.4503e-01
   4.33   8.2499e-01
   4.50   8.1191e-01
   4.67   8.2845e-01
   4.83   8.7140e-01
   5.00   8.2135e-01
   5.17   7.8889e-01
   5.33   8.1114e-01
   5.50   7.8419e-01
   5.67   7.5423e-01
   5.83   7.6103e-01
   6.00   7.8202e-01
   6.17   7.5512e-01
   6.33   6.9812e-01
   6.50   7.0449e-01
   6.67   7.0882e-01
   6.83   6.9532e-01
   7.00   6.7821e-01
   7.17   7.3365e-01
   7.33   6.5724e-01
   7.50   6.4313e-01
   7.67   6.4190e-01
   7.83   6.3574e-01
   8.00   6.0729e-01
   8.17   6.1949e-01
   8.33   6.1250e-01
   8.50   5.6700e-01
   8.67   5.7621e-01
   8.83   5.8901e-01
   9.00   5.4730e-01
   9.17   5.3039e-01
   9.33   5.3167e-01
   9.50   5.0286e-01
   9.67   5.0949e-01
   9.83   4.9333e-01
  10.00   4.8233e-01
  10.17   4.7333e-01
  10.33   4.8492e-01
  10.50   4.7884e-01
  10.67   4.4151e-01
  10.83   4.4818e-01
  11.00   4.7001e-01
  11.17   4.2828e-01
  11.33   4.1247e-01
  11.50   4.0338e-01
  11.67   4.2930e-01
  11.83   4.1427e-01
  12.00   3.9791e-01
  12.17   3.7677e-01
  12.33   3.7946e-01
  12.50   5.0346e-01
  12.67   3.8311e-01
  12.83   3.5966e-01
  13.00   3.4271e-01
  13.17   3.7793e-01
  13.33   3.4275e-01
  13.50   3.4744e-01
  13.67   3.3683e-01
  13.83   3.2280e-01
  14.00   3.4580e-01
  14.17   3.5789e-01
  14.33   3.3133e-01
  14.50   3.2209e-01
  14.67   3.4517e-01
  14.83   3.1520e-01
  15.00   2.9341e-01
  15.17   2.8001e-01
  15.33   2.9077e-01
  15.50   3.1388e-01
  15.67   3.2154e-01
  15.83   3.1773e-01
  16.00   2.6435e-01
  16.17   2.4871e-01
  16.33   2.4325e-01
  16.50   2.6307e-01
  16.67   2.6473e-01
  16.83   2.5340e-01
  17.00   2.5079e-01
  17.17   2.2220e-01
  17.33   2.4870e-01
  17.50   2.6562e-01
  17.67   2.4356e-01
  17.83   2.2028e-01
  18.00   2.2336e-01
  18.17   2.5479e-01
  18.33   2.4167e-01
  18.50   2.1927e-01
  18.67   2.3940e-01
  18.83   2.4063e-01
  19.00   2.2554e-01
  19.17   2.2191e-01
  19.33   2.1364e-01
  19.50   1.8185e-01
  19.67   1.7462e-01
  19.83   2.0454e-01
  20.00   2.2114e-01
