# t(min)  I
   1.00   4.8000e-01
   1.50   4.7000e-01
   2.00   3.7000e-01
   2.50   2.9000e-01
   3.00   2.6000e-01
   3.50   2.4000e-01
   4.00   2.1000e-01
   4.50   1.9000e-01
   5.00   1.9000e-01
   5.50   1.7000e-01
   6.00   1.6000e-01
   6.50   1.5000e-01
   7.00   1.4000e-01
   7.50   1.3000e-01
   8.00   1.3000e-01
   8.50   1.2000e-01
   9.00   1.1000e-01
   9.50   1.1000e-01
  10.00   1.0000e-01
  10.50   1.0000e-01
  11.00   1.0000e-01
  11.50   1.0000e-01
  12.00   9.0000e-02
  12.50   9.0000e-02
  13.00   9.0000e-02
  13.50   8.0000e-02
  14.00   8.0000e-02
  14.50   8.0000e-02
  15.00   7.0000e-02
  15.50   7.0000e-02
  16.00   8.0000e-02
  16.50   8.0000e-02
  17.00   8.0000e-02
  17.50   7.0000e-02
  18.00   7.0000e-02
  18.50   7.0000e-02
  19.00   7.0000e-02
  19.50   6.0000e-02
  20.00   6.0000e-02
  20.50   6.0000e-02
  21.00   5.0000e-02
  21.50   5.0000e-02
  22.00   6.0000e-02
  22.50   5.0000e-02
  23.00   6.0000e-02
  23.50   6.0000e-02
  24.00   5.0000e-02
  24.50   5.0000e-02
  25.00   5.0000e-02
  25.50   5.0000e-02
