# t(min)  I
   2.17   7.1506e-02
   2.67   4.6289e-02
   3.17   3.8012e-02
   3.67   3.4443e-02
   4.17   2.7166e-02
   4.67   2.3393e-02
   5.17   1.9249e-02
   5.67   1.6542e-02
   6.17   1.2026e-02
   6.67   4.9588e-03
   7.17   8.2846e-03
   7.67   7.7321e-03
   8.17   6.0972e-03
   8.67   4.3366e-03
   9.17   -2.8624e-03
