# nu(cm-1)        I       SG
       930  0.80460  0.80127
       931  0.80012  0.79957
       932  0.79409  0.79781
       933  0.79444  0.79613
       934  0.79502  0.79434
       935  0.79268  0.79245
       936  0.78863  0.79062
       937  0.78440  0.78881
       938  0.78251  0.78706
       939  0.78292  0.78544
       940  0.78094  0.78388
       941  0.77828  0.78234
       942  0.77780  0.78080
       943  0.77901  0.77919
       944  0.77670  0.77756
       945  0.77267  0.77593
       946  0.77341  0.77434
       947  0.77167  0.77301
       948  0.76729  0.77171
       949  0.76554  0.77007
       950  0.76503  0.76834
       951  0.76833  0.76680
       952  0.77392  0.76544
       953  0.76895  0.76394
       954  0.76081  0.76246
       955  0.76043  0.76120
       956  0.76738  0.76004
       957  0.77064  0.75893
       958  0.76415  0.75785
       959  0.75398  0.75684
       960  0.75559  0.75581
       961  0.76068  0.75458
       962  0.75301  0.75320
       963  0.75406  0.75192
       964  0.75738  0.75078
       965  0.74905  0.74970
       966  0.74449  0.74857
       967  0.74369  0.74732
       968  0.74342  0.74595
       969  0.74760  0.74467
       970  0.74714  0.74360
       971  0.74024  0.74266
       972  0.73737  0.74165
       973  0.73999  0.74043
       974  0.74002  0.73918
       975  0.73100  0.73803
       976  0.72844  0.73682
       977  0.73185  0.73566
       978  0.73273  0.73464
       979  0.73420  0.73358
       980  0.73600  0.73255
       981  0.73371  0.73152
       982  0.72382  0.73037
       983  0.72376  0.72919
       984  0.73472  0.72798
       985  0.73547  0.72677
       986  0.73242  0.72570
       987  0.72929  0.72472
       988  0.72366  0.72375
       989  0.72272  0.72281
       990  0.72458  0.72176
       991  0.72247  0.72073
       992  0.71643  0.71997
       993  0.71405  0.71920
       994  0.71653  0.71826
       995  0.71302  0.71740
       996  0.71494  0.71663
       997  0.72209  0.71603
       998  0.71645  0.71547
       999  0.70904  0.71487
      1000  0.70876  0.71432
      1001  0.71365  0.71369
      1002  0.71752  0.71297
      1003  0.71896  0.71216
      1004  0.71796  0.71132
      1005  0.71060  0.71069
      1006  0.70333  0.71012
      1007  0.70352  0.70935
      1008  0.70965  0.70846
      1009  0.71087  0.70780
      1010  0.70743  0.70739
      1011  0.71034  0.70690
      1012  0.70644  0.70625
      1013  0.69970  0.70573
      1014  0.70363  0.70536
      1015  0.70123  0.70494
      1016  0.69814  0.70450
      1017  0.70501  0.70405
      1018  0.70653  0.70349
      1019  0.70531  0.70310
      1020  0.70485  0.70294
      1021  0.69830  0.70260
      1022  0.69879  0.70236
      1023  0.70569  0.70213
      1024  0.70234  0.70164
      1025  0.70121  0.70115
      1026  0.70191  0.70085
      1027  0.69733  0.70061
      1028  0.70483  0.70015
      1029  0.70996  0.69959
      1030  0.69901  0.69911
      1031  0.69791  0.69858
      1032  0.69675  0.69813
      1033  0.68889  0.69776
      1034  0.69237  0.69717
      1035  0.69553  0.69659
      1036  0.69285  0.69616
      1037  0.69352  0.69584
      1038  0.69818  0.69562
      1039  0.70103  0.69545
      1040  0.69797  0.69526
      1041  0.69717  0.69488
      1042  0.70207  0.69437
      1043  0.70744  0.69378
      1044  0.70207  0.69316
      1045  0.69199  0.69271
      1046  0.68774  0.69231
      1047  0.69213  0.69194
      1048  0.69020  0.69152
      1049  0.68395  0.69105
      1050  0.68806  0.69075
      1051  0.69253  0.69041
      1052  0.69248  0.68991
      1053  0.68855  0.68947
      1054  0.67966  0.68904
      1055  0.68003  0.68849
      1056  0.69028  0.68803
      1057  0.68487  0.68770
      1058  0.68206  0.68735
      1059  0.68995  0.68707
      1060  0.69049  0.68673
      1061  0.68389  0.68639
      1062  0.67971  0.68605
      1063  0.68429  0.68557
      1064  0.68631  0.68523
      1065  0.68511  0.68499
      1066  0.68455  0.68454
      1067  0.68254  0.68411
      1068  0.68655  0.68362
      1069  0.69362  0.68293
      1070  0.68664  0.68229
      1071  0.67880  0.68171
      1072  0.67769  0.68112
      1073  0.67724  0.68058
      1074  0.67665  0.68009
      1075  0.67757  0.67966
      1076  0.67970  0.67927
      1077  0.67793  0.67892
      1078  0.68124  0.67861
      1079  0.69004  0.67840
      1080  0.68446  0.67819
      1081  0.67902  0.67777
      1082  0.68178  0.67733
      1083  0.68072  0.67703
      1084  0.67610  0.67658
      1085  0.67113  0.67594
      1086  0.66884  0.67548
      1087  0.67200  0.67516
      1088  0.67574  0.67473
      1089  0.67704  0.67414
      1090  0.68231  0.67340
      1091  0.67869  0.67262
      1092  0.66574  0.67207
      1093  0.66510  0.67147
      1094  0.66806  0.67085
      1095  0.66712  0.67040
      1096  0.66524  0.66994
      1097  0.66537  0.66929
      1098  0.66653  0.66857
      1099  0.66690  0.66800
      1100  0.66811  0.66749
      1101  0.66782  0.66702
      1102  0.66574  0.66653
      1103  0.66670  0.66593
      1104  0.66789  0.66536
      1105  0.66780  0.66497
      1106  0.66803  0.66449
      1107  0.66540  0.66389
      1108  0.66301  0.66328
      1109  0.66517  0.66266
      1110  0.66530  0.66203
      1111  0.66141  0.66143
      1112  0.65797  0.66086
      1113  0.66179  0.66028
      1114  0.66348  0.65992
      1115  0.66003  0.65975
      1116  0.66003  0.65942
      1117  0.65630  0.65903
      1118  0.65249  0.65866
      1119  0.65753  0.65835
      1120  0.65899  0.65815
      1121  0.65436  0.65774
      1122  0.65091  0.65720
      1123  0.65586  0.65683
      1124  0.65968  0.65656
      1125  0.65775  0.65628
      1126  0.65886  0.65616
      1127  0.65848  0.65619
      1128  0.65515  0.65587
      1129  0.65300  0.65537
      1130  0.65218  0.65495
      1131  0.65348  0.65457
      1132  0.65614  0.65415
      1133  0.65490  0.65370
      1134  0.65253  0.65329
      1135  0.65133  0.65282
      1136  0.64847  0.65232
      1137  0.64809  0.65196
      1138  0.65137  0.65166
      1139  0.65445  0.65145
      1140  0.65515  0.65127
      1141  0.65385  0.65097
      1142  0.65241  0.65066
      1143  0.65222  0.65052
      1144  0.65237  0.65059
      1145  0.65192  0.65061
      1146  0.65179  0.65036
      1147  0.65340  0.65004
      1148  0.65296  0.64975
      1149  0.64618  0.64958
      1150  0.64658  0.64946
      1151  0.65107  0.64926
      1152  0.64981  0.64918
      1153  0.65265  0.64910
      1154  0.65071  0.64866
      1155  0.64157  0.64830
      1156  0.64623  0.64815
      1157  0.65027  0.64785
      1158  0.64560  0.64733
      1159  0.64431  0.64697
      1160  0.64764  0.64695
      1161  0.64658  0.64694
      1162  0.63726  0.64690
      1163  0.64045  0.64683
      1164  0.64826  0.64668
      1165  0.64731  0.64654
      1166  0.64497  0.64645
      1167  0.64544  0.64630
      1168  0.64709  0.64627
      1169  0.64658  0.64625
      1170  0.65083  0.64607
      1171  0.65504  0.64600
      1172  0.65019  0.64594
      1173  0.64579  0.64576
      1174  0.64365  0.64562
      1175  0.64369  0.64551
      1176  0.65043  0.64540
      1177  0.65319  0.64537
      1178  0.64441  0.64536
      1179  0.63147  0.64537
      1180  0.63534  0.64540
      1181  0.64871  0.64538
      1182  0.64971  0.64541
      1183  0.64606  0.64557
      1184  0.64395  0.64564
      1185  0.64455  0.64550
      1186  0.64582  0.64542
      1187  0.64072  0.64556
      1188  0.63666  0.64566
      1189  0.64930  0.64581
      1190  0.65192  0.64595
      1191  0.64440  0.64584
      1192  0.64740  0.64577
      1193  0.65505  0.64583
      1194  0.65388  0.64578
      1195  0.64281  0.64577
      1196  0.64111  0.64589
      1197  0.64401  0.64595
      1198  0.64552  0.64579
      1199  0.64772  0.64565
      1200  0.64503  0.64561
      1201  0.64255  0.64554
      1202  0.64676  0.64549
      1203  0.64418  0.64551
      1204  0.64324  0.64543
      1205  0.64900  0.64536
      1206  0.64324  0.64536
      1207  0.63949  0.64532
      1208  0.64416  0.64529
      1209  0.64566  0.64520
      1210  0.64807  0.64495
      1211  0.64978  0.64487
      1212  0.64647  0.64500
      1213  0.64483  0.64510
      1214  0.64425  0.64501
      1215  0.64358  0.64459
      1216  0.64629  0.64415
      1217  0.64469  0.64396
      1218  0.64054  0.64384
      1219  0.64476  0.64366
      1220  0.64861  0.64341
      1221  0.64613  0.64320
      1222  0.64045  0.64295
      1223  0.64102  0.64250
      1224  0.64218  0.64198
      1225  0.64016  0.64172
      1226  0.64326  0.64149
      1227  0.64509  0.64112
      1228  0.64370  0.64093
      1229  0.64391  0.64088
      1230  0.64073  0.64070
      1231  0.63698  0.64038
      1232  0.63754  0.64011
      1233  0.63756  0.63982
      1234  0.63798  0.63942
      1235  0.64008  0.63912
      1236  0.64071  0.63881
      1237  0.63630  0.63842
      1238  0.63267  0.63823
      1239  0.63722  0.63795
      1240  0.63641  0.63751
      1241  0.63640  0.63727
      1242  0.64345  0.63696
      1243  0.63900  0.63651
      1244  0.63714  0.63615
      1245  0.64200  0.63592
      1246  0.63370  0.63584
      1247  0.62932  0.63580
      1248  0.63269  0.63564
      1249  0.63264  0.63548
      1250  0.63355  0.63533
      1251  0.63580  0.63510
      1252  0.63631  0.63490
      1253  0.63387  0.63467
      1254  0.63281  0.63433
      1255  0.63309  0.63411
      1256  0.63048  0.63402
      1257  0.63294  0.63393
      1258  0.63700  0.63377
      1259  0.63475  0.63365
      1260  0.63428  0.63353
      1261  0.63618  0.63337
      1262  0.63547  0.63329
      1263  0.62962  0.63322
      1264  0.63079  0.63307
      1265  0.63673  0.63294
      1266  0.63242  0.63278
      1267  0.62788  0.63257
      1268  0.63043  0.63239
      1269  0.63668  0.63222
      1270  0.63519  0.63206
      1271  0.63326  0.63200
      1272  0.63430  0.63198
      1273  0.62885  0.63190
      1274  0.63054  0.63173
      1275  0.63707  0.63160
      1276  0.63399  0.63145
      1277  0.63225  0.63132
      1278  0.63452  0.63136
      1279  0.63540  0.63126
      1280  0.63086  0.63108
      1281  0.62654  0.63102
      1282  0.62675  0.63088
      1283  0.62881  0.63068
      1284  0.62747  0.63053
      1285  0.62606  0.63033
      1286  0.62968  0.63016
      1287  0.63099  0.63008
      1288  0.63143  0.63005
      1289  0.63324  0.63005
      1290  0.63227  0.63005
      1291  0.63083  0.62999
      1292  0.62982  0.62981
      1293  0.62757  0.62973
      1294  0.62644  0.62981
      1295  0.62692  0.62978
      1296  0.62736  0.62976
      1297  0.62643  0.62979
      1298  0.62797  0.62977
      1299  0.63198  0.62962
      1300  0.63232  0.62942
      1301  0.63158  0.62927
      1302  0.63103  0.62907
      1303  0.62987  0.62883
      1304  0.63017  0.62870
      1305  0.63021  0.62875
      1306  0.62838  0.62880
      1307  0.62701  0.62877
      1308  0.62577  0.62871
      1309  0.62556  0.62856
      1310  0.62802  0.62842
      1311  0.62856  0.62842
      1312  0.62724  0.62843
      1313  0.62746  0.62844
