# nu(cm-1)        I      fit    const
       826  1.41111  1.40599  1.00000
       827  1.40868  1.40569  1.00000
       828  1.40867  1.40472  1.00000
       829  1.40937  1.40361  1.00000
       830  1.40716  1.40270  1.00000
       831  1.40334  1.40165  1.00000
       832  1.40150  1.40051  1.00000
       833  1.40271  1.39921  1.00000
       834  1.40353  1.39768  1.00000
       835  1.40204  1.39638  1.00000
       836  1.39934  1.39531  1.00000
       837  1.39826  1.39412  1.00000
       838  1.39743  1.39264  1.00000
       839  1.39697  1.39123  1.00000
       840  1.39780  1.39012  1.00000
       841  1.39599  1.38866  1.00000
       842  1.39148  1.38730  1.00000
       843  1.38727  1.38638  1.00000
       844  1.38483  1.38525  1.00000
       845  1.38374  1.38404  1.00000
       846  1.38364  1.38305  1.00000
       847  1.38561  1.38228  1.00000
       848  1.38676  1.38152  1.00000
       849  1.38506  1.38060  1.00000
       850  1.38294  1.37953  1.00000
       851  1.38336  1.37846  1.00000
       852  1.38485  1.37744  1.00000
       853  1.38246  1.37642  1.00000
       854  1.38006  1.37538  1.00000
       855  1.37890  1.37423  1.00000
       856  1.37671  1.37293  1.00000
       857  1.37576  1.37170  1.00000
       858  1.37434  1.37059  1.00000
       859  1.37042  1.36949  1.00000
       860  1.37010  1.36830  1.00000
       861  1.36931  1.36701  1.00000
       862  1.36443  1.36569  1.00000
       863  1.36516  1.36443  1.00000
       864  1.36740  1.36340  1.00000
       865  1.36576  1.36234  1.00000
       866  1.36389  1.36084  1.00000
       867  1.36223  1.35949  1.00000
       868  1.36087  1.35860  1.00000
       869  1.36097  1.35796  1.00000
       870  1.36164  1.35704  1.00000
       871  1.36170  1.35593  1.00000
       872  1.36016  1.35503  1.00000
       873  1.35606  1.35449  1.00000
       874  1.35308  1.35369  1.00000
       875  1.35445  1.35249  1.00000
       876  1.35350  1.35183  1.00000
       877  1.35167  1.35090  1.00000
       878  1.35228  1.34953  1.00000
       879  1.35106  1.34890  1.00000
       880  1.34863  1.34823  1.00000
       881  1.34756  1.34726  1.00000
       882  1.34869  1.34655  1.00000
       883  1.34986  1.34569  1.00000
       884  1.34914  1.34461  1.00000
       885  1.34696  1.34359  1.00000
       886  1.34656  1.34269  1.00000
       887  1.34668  1.34168  1.00000
       888  1.34360  1.34052  1.00000
       889  1.34187  1.33967  1.00000
       890  1.34238  1.33885  1.00000
       891  1.34233  1.33773  1.00000
       892  1.34040  1.33659  1.00000
       893  1.33951  1.33545  1.00000
       894  1.34079  1.33430  1.00000
       895  1.33866  1.33317  1.00000
       896  1.33661  1.33202  1.00000
       897  1.33714  1.33096  1.00000
       898  1.33553  1.33017  1.00000
       899  1.33274  1.32948  1.00000
       900  1.33048  1.32881  1.00000
       901  1.32923  1.32821  1.00000
       902  1.33092  1.32762  1.00000
       903  1.33234  1.32683  1.00000
       904  1.32907  1.32576  1.00000
       905  1.32803  1.32476  1.00000
       906  1.32868  1.32404  1.00000
       907  1.32698  1.32344  1.00000
       908  1.32632  1.32257  1.00000
       909  1.32588  1.32160  1.00000
       910  1.32451  1.32078  1.00000
       911  1.32478  1.32012  1.00000
       912  1.32425  1.31936  1.00000
       913  1.32138  1.31852  1.00000
       914  1.31906  1.31786  1.00000
       915  1.32014  1.31707  1.00000
       916  1.32088  1.31625  1.00000
       917  1.31544  1.31558  1.00000
       918  1.31487  1.31479  1.00000
       919  1.31896  1.31394  1.00000
       920  1.31879  1.31321  1.00000
       921  1.31621  1.31255  1.00000
       922  1.31532  1.31171  1.00000
       923  1.31665  1.31064  1.00000
       924  1.31401  1.30960  1.00000
       925  1.31054  1.30853  1.00000
       926  1.30981  1.30756  1.00000
       927  1.30877  1.30690  1.00000
       928  1.30815  1.30623  1.00000
       929  1.30869  1.30535  1.00000
       930  1.30905  1.30442  1.00000
       931  1.30733  1.30390  1.00000
       932  1.30502  1.30356  1.00000
       933  1.30515  1.30296  1.00000
       934  1.30537  1.30218  1.00000
       935  1.30448  1.30153  1.00000
       936  1.30292  1.30100  1.00000
       937  1.30129  1.30027  1.00000
       938  1.30057  1.29975  1.00000
       939  1.30073  1.29944  1.00000
       940  1.29997  1.29872  1.00000
       941  1.29895  1.29789  1.00000
       942  1.29876  1.29728  1.00000
       943  1.29923  1.29692  1.00000
       944  1.29834  1.29662  1.00000
       945  1.29679  1.29622  1.00000
       946  1.29707  1.29572  1.00000
       947  1.29641  1.29526  1.00000
       948  1.29473  1.29496  1.00000
       949  1.29405  1.29470  1.00000
       950  1.29386  1.29425  1.00000
       951  1.29512  1.29397  1.00000
       952  1.29727  1.29388  1.00000
       953  1.29536  1.29351  1.00000
       954  1.29224  1.29324  1.00000
       955  1.29209  1.29316  1.00000
       956  1.29476  1.29293  1.00000
       957  1.29601  1.29263  1.00000
       958  1.29352  1.29241  1.00000
       959  1.28961  1.29221  1.00000
       960  1.29023  1.29159  1.00000
       961  1.29219  1.29088  1.00000
       962  1.28924  1.29042  1.00000
       963  1.28964  1.28984  1.00000
       964  1.29092  1.28917  1.00000
       965  1.28772  1.28851  1.00000
       966  1.28597  1.28777  1.00000
       967  1.28566  1.28696  1.00000
       968  1.28556  1.28596  1.00000
       969  1.28716  1.28476  1.00000
       970  1.28698  1.28401  1.00000
       971  1.28433  1.28349  1.00000
       972  1.28323  1.28261  1.00000
       973  1.28424  1.28179  1.00000
       974  1.28425  1.28123  1.00000
       975  1.28079  1.28090  1.00000
       976  1.27980  1.28081  1.00000
       977  1.28111  1.28078  1.00000
       978  1.28145  1.28077  1.00000
       979  1.28201  1.28095  1.00000
       980  1.28270  1.28129  1.00000
       981  1.28182  1.28138  1.00000
       982  1.27803  1.28082  1.00000
       983  1.27801  1.28043  1.00000
       984  1.28221  1.28027  1.00000
       985  1.28250  1.27974  1.00000
       986  1.28133  1.27876  1.00000
       987  1.28013  1.27765  1.00000
       988  1.27796  1.27673  1.00000
       989  1.27760  1.27607  1.00000
       990  1.27832  1.27562  1.00000
       991  1.27751  1.27522  1.00000
       992  1.27519  1.27482  1.00000
       993  1.27427  1.27463  1.00000
       994  1.27523  1.27448  1.00000
       995  1.27388  1.27403  1.00000
       996  1.27462  1.27380  1.00000
       997  1.27736  1.27381  1.00000
       998  1.27519  1.27363  1.00000
       999  1.27235  1.27339  1.00000
      1000  1.27224  1.27318  1.00000
      1001  1.27412  1.27303  1.00000
      1002  1.27561  1.27300  1.00000
      1003  1.27616  1.27293  1.00000
      1004  1.27578  1.27266  1.00000
      1005  1.27295  1.27227  1.00000
      1006  1.27016  1.27211  1.00000
      1007  1.27023  1.27203  1.00000
      1008  1.27258  1.27156  1.00000
      1009  1.27305  1.27119  1.00000
      1010  1.27173  1.27103  1.00000
      1011  1.27285  1.27088  1.00000
      1012  1.27135  1.27076  1.00000
      1013  1.26876  1.27059  1.00000
      1014  1.27027  1.27030  1.00000
      1015  1.26935  1.27005  1.00000
      1016  1.26816  1.26982  1.00000
      1017  1.27080  1.26953  1.00000
      1018  1.27139  1.26908  1.00000
      1019  1.27092  1.26861  1.00000
      1020  1.27074  1.26830  1.00000
      1021  1.26822  1.26816  1.00000
      1022  1.26841  1.26776  1.00000
      1023  1.27106  1.26731  1.00000
      1024  1.26978  1.26721  1.00000
      1025  1.26934  1.26701  1.00000
      1026  1.26961  1.26686  1.00000
      1027  1.26785  1.26691  1.00000
      1028  1.27073  1.26669  1.00000
      1029  1.27270  1.26647  1.00000
      1030  1.26850  1.26639  1.00000
      1031  1.26808  1.26605  1.00000
      1032  1.26763  1.26568  1.00000
      1033  1.26461  1.26548  1.00000
      1034  1.26595  1.26537  1.00000
      1035  1.26716  1.26502  1.00000
      1036  1.26613  1.26468  1.00000
      1037  1.26639  1.26461  1.00000
      1038  1.26818  1.26431  1.00000
      1039  1.26927  1.26397  1.00000
      1040  1.26810  1.26378  1.00000
      1041  1.26779  1.26340  1.00000
      1042  1.26967  1.26305  1.00000
      1043  1.27174  1.26285  1.00000
      1044  1.26967  1.26265  1.00000
      1045  1.26580  1.26241  1.00000
      1046  1.26417  1.26220  1.00000
      1047  1.26585  1.26212  1.00000
      1048  1.26511  1.26208  1.00000
      1049  1.26271  1.26200  1.00000
      1050  1.26429  1.26184  1.00000
      1051  1.26601  1.26166  1.00000
      1052  1.26599  1.26144  1.00000
      1053  1.26448  1.26127  1.00000
      1054  1.26106  1.26132  1.00000
      1055  1.26121  1.26124  1.00000
      1056  1.26515  1.26097  1.00000
      1057  1.26307  1.26080  1.00000
      1058  1.26198  1.26050  1.00000
      1059  1.26502  1.26017  1.00000
      1060  1.26522  1.26008  1.00000
      1061  1.26269  1.26017  1.00000
      1062  1.26108  1.26011  1.00000
      1063  1.26284  1.25980  1.00000
      1064  1.26362  1.25967  1.00000
      1065  1.26316  1.25972  1.00000
      1066  1.26294  1.25971  1.00000
      1067  1.26217  1.25950  1.00000
      1068  1.26371  1.25930  1.00000
      1069  1.26643  1.25904  1.00000
      1070  1.26374  1.25857  1.00000
      1071  1.26074  1.25859  1.00000
      1072  1.26031  1.25878  1.00000
      1073  1.26014  1.25861  1.00000
      1074  1.25991  1.25864  1.00000
      1075  1.26026  1.25857  1.00000
      1076  1.26108  1.25823  1.00000
      1077  1.26040  1.25821  1.00000
      1078  1.26167  1.25818  1.00000
      1079  1.26505  1.25802  1.00000
      1080  1.26291  1.25802  1.00000
      1081  1.26082  1.25794  1.00000
      1082  1.26188  1.25773  1.00000
      1083  1.26147  1.25750  1.00000
      1084  1.25970  1.25721  1.00000
      1085  1.25779  1.25692  1.00000
      1086  1.25691  1.25667  1.00000
      1087  1.25812  1.25639  1.00000
      1088  1.25956  1.25620  1.00000
      1089  1.26006  1.25607  1.00000
      1090  1.26208  1.25574  1.00000
      1091  1.26069  1.25550  1.00000
      1092  1.25572  1.25537  1.00000
      1093  1.25547  1.25510  1.00000
      1094  1.25661  1.25487  1.00000
      1095  1.25625  1.25474  1.00000
      1096  1.25553  1.25462  1.00000
      1097  1.25558  1.25439  1.00000
      1098  1.25602  1.25424  1.00000
      1099  1.25616  1.25422  1.00000
      1100  1.25663  1.25400  1.00000
      1101  1.25652  1.25385  1.00000
      1102  1.25572  1.25382  1.00000
      1103  1.25609  1.25366  1.00000
      1104  1.25654  1.25334  1.00000
      1105  1.25651  1.25311  1.00000
