# nu(cm-1)        I      fit    const
      1400  1.23913  1.24010  1.00000
      1401  1.24047  1.24032  1.00000
      1402  1.24233  1.24038  1.00000
      1403  1.24100  1.24043  1.00000
      1404  1.23880  1.24047  1.00000
      1405  1.23865  1.24048  1.00000
      1406  1.23824  1.24049  1.00000
      1407  1.23940  1.24036  1.00000
      1408  1.24132  1.24028  1.00000
      1409  1.24048  1.24042  1.00000
      1410  1.23991  1.24037  1.00000
      1411  1.24094  1.24027  1.00000
      1412  1.24173  1.24034  1.00000
      1413  1.23959  1.24045  1.00000
      1414  1.23981  1.24023  1.00000
      1415  1.24210  1.23981  1.00000
      1416  1.23899  1.23964  1.00000
      1417  1.23809  1.23962  1.00000
      1418  1.23950  1.23967  1.00000
      1419  1.23859  1.23980  1.00000
      1420  1.23921  1.23994  1.00000
      1421  1.24008  1.23995  1.00000
      1422  1.23867  1.23986  1.00000
      1423  1.23604  1.23991  1.00000
      1424  1.23767  1.24011  1.00000
      1425  1.24062  1.24027  1.00000
      1426  1.23863  1.24027  1.00000
      1427  1.23794  1.24037  1.00000
      1428  1.23863  1.24050  1.00000
      1429  1.23930  1.24061  1.00000
      1430  1.24172  1.24079  1.00000
      1431  1.24033  1.24070  1.00000
      1432  1.23602  1.24061  1.00000
      1433  1.23586  1.24089  1.00000
      1434  1.23925  1.24098  1.00000
      1435  1.24092  1.24105  1.00000
      1436  1.23861  1.24129  1.00000
      1437  1.23798  1.24147  1.00000
      1438  1.24028  1.24165  1.00000
      1439  1.24262  1.24178  1.00000
      1440  1.24172  1.24176  1.00000
      1441  1.24042  1.24164  1.00000
      1442  1.23977  1.24151  1.00000
      1443  1.23955  1.24142  1.00000
      1444  1.24069  1.24143  1.00000
      1445  1.24100  1.24148  1.00000
      1446  1.24048  1.24166  1.00000
      1447  1.24150  1.24198  1.00000
      1448  1.24060  1.24202  1.00000
      1449  1.23952  1.24190  1.00000
      1450  1.24114  1.24192  1.00000
      1451  1.24110  1.24208  1.00000
      1452  1.24056  1.24214  1.00000
      1453  1.24121  1.24209  1.00000
      1454  1.24181  1.24214  1.00000
      1455  1.24125  1.24221  1.00000
      1456  1.23999  1.24229  1.00000
      1457  1.23977  1.24234  1.00000
      1458  1.24188  1.24224  1.00000
      1459  1.24277  1.24238  1.00000
      1460  1.24106  1.24264  1.00000
      1461  1.24079  1.24251  1.00000
      1462  1.24194  1.24259  1.00000
      1463  1.24243  1.24282  1.00000
      1464  1.24114  1.24281  1.00000
      1465  1.24070  1.24274  1.00000
      1466  1.24047  1.24271  1.00000
      1467  1.23997  1.24279  1.00000
      1468  1.24134  1.24299  1.00000
      1469  1.24340  1.24293  1.00000
      1470  1.24355  1.24294  1.00000
      1471  1.24111  1.24333  1.00000
      1472  1.24101  1.24346  1.00000
      1473  1.24356  1.24360  1.00000
      1474  1.24588  1.24386  1.00000
      1475  1.24577  1.24382  1.00000
      1476  1.24493  1.24388  1.00000
      1477  1.24374  1.24408  1.00000
      1478  1.24180  1.24425  1.00000
      1479  1.24312  1.24444  1.00000
      1480  1.24401  1.24463  1.00000
      1481  1.24243  1.24478  1.00000
      1482  1.24526  1.24492  1.00000
      1483  1.24498  1.24503  1.00000
      1484  1.24040  1.24514  1.00000
      1485  1.23975  1.24540  1.00000
      1486  1.24252  1.24594  1.00000
      1487  1.24503  1.24622  1.00000
      1488  1.24484  1.24611  1.00000
      1489  1.24338  1.24622  1.00000
      1490  1.24267  1.24648  1.00000
      1491  1.24418  1.24668  1.00000
      1492  1.24727  1.24684  1.00000
      1493  1.24730  1.24718  1.00000
      1494  1.24526  1.24760  1.00000
      1495  1.24479  1.24782  1.00000
      1496  1.24600  1.24775  1.00000
      1497  1.24662  1.24811  1.00000
      1498  1.24617  1.24866  1.00000
      1499  1.24676  1.24866  1.00000
      1500  1.24903  1.24890  1.00000
      1501  1.25030  1.24927  1.00000
      1502  1.24880  1.24947  1.00000
      1503  1.24799  1.24978  1.00000
      1504  1.24807  1.25005  1.00000
      1505  1.24778  1.25022  1.00000
      1506  1.24676  1.25044  1.00000
      1507  1.24719  1.25079  1.00000
      1508  1.24864  1.25113  1.00000
      1509  1.24919  1.25145  1.00000
      1510  1.24881  1.25185  1.00000
      1511  1.24939  1.25200  1.00000
      1512  1.25017  1.25214  1.00000
      1513  1.24852  1.25276  1.00000
      1514  1.24932  1.25311  1.00000
      1515  1.25159  1.25328  1.00000
      1516  1.25181  1.25361  1.00000
      1517  1.25213  1.25391  1.00000
      1518  1.25135  1.25400  1.00000
      1519  1.25076  1.25406  1.00000
      1520  1.25405  1.25440  1.00000
      1521  1.25523  1.25482  1.00000
      1522  1.25455  1.25515  1.00000
      1523  1.25522  1.25540  1.00000
      1524  1.25433  1.25574  1.00000
      1525  1.25430  1.25608  1.00000
      1526  1.25577  1.25643  1.00000
      1527  1.25512  1.25693  1.00000
      1528  1.25374  1.25741  1.00000
      1529  1.25359  1.25797  1.00000
      1530  1.25495  1.25866  1.00000
      1531  1.25610  1.25923  1.00000
      1532  1.25707  1.25978  1.00000
      1533  1.25745  1.26036  1.00000
      1534  1.25651  1.26084  1.00000
      1535  1.25827  1.26110  1.00000
      1536  1.25945  1.26154  1.00000
      1537  1.25639  1.26235  1.00000
      1538  1.25682  1.26285  1.00000
      1539  1.26128  1.26307  1.00000
      1540  1.26404  1.26342  1.00000
      1541  1.26031  1.26418  1.00000
      1542  1.26026  1.26488  1.00000
      1543  1.26471  1.26549  1.00000
      1544  1.26672  1.26614  1.00000
      1545  1.26436  1.26671  1.00000
      1546  1.26434  1.26748  1.00000
      1547  1.26755  1.26838  1.00000
      1548  1.26658  1.26908  1.00000
      1549  1.26520  1.26967  1.00000
      1550  1.26573  1.27025  1.00000
      1551  1.26771  1.27092  1.00000
      1552  1.27077  1.27179  1.00000
      1553  1.27209  1.27270  1.00000
      1554  1.27189  1.27361  1.00000
      1555  1.27337  1.27459  1.00000
      1556  1.27330  1.27544  1.00000
      1557  1.27176  1.27634  1.00000
      1558  1.27117  1.27740  1.00000
      1559  1.27173  1.27830  1.00000
      1560  1.27290  1.27916  1.00000
      1561  1.27498  1.28013  1.00000
      1562  1.27817  1.28113  1.00000
      1563  1.27867  1.28194  1.00000
      1564  1.27837  1.28273  1.00000
      1565  1.27976  1.28364  1.00000
      1566  1.27875  1.28440  1.00000
      1567  1.27707  1.28494  1.00000
      1568  1.27800  1.28546  1.00000
      1569  1.28168  1.28619  1.00000
      1570  1.28247  1.28723  1.00000
      1571  1.28347  1.28839  1.00000
      1572  1.28811  1.28938  1.00000
      1573  1.28934  1.29014  1.00000
      1574  1.28716  1.29111  1.00000
      1575  1.28586  1.29240  1.00000
      1576  1.28878  1.29372  1.00000
      1577  1.29236  1.29489  1.00000
      1578  1.29393  1.29611  1.00000
      1579  1.29391  1.29752  1.00000
      1580  1.29538  1.29894  1.00000
      1581  1.29938  1.30034  1.00000
      1582  1.30252  1.30172  1.00000
      1583  1.30157  1.30303  1.00000
      1584  1.30409  1.30419  1.00000
      1585  1.30697  1.30567  1.00000
      1586  1.30625  1.30745  1.00000
      1587  1.30790  1.30878  1.00000
      1588  1.30972  1.31027  1.00000
      1589  1.31088  1.31203  1.00000
      1590  1.31300  1.31367  1.00000
      1591  1.31273  1.31524  1.00000
      1592  1.31187  1.31673  1.00000
      1593  1.31341  1.31820  1.00000
      1594  1.31643  1.31985  1.00000
      1595  1.31858  1.32162  1.00000
      1596  1.31950  1.32349  1.00000
      1597  1.32062  1.32541  1.00000
      1598  1.32223  1.32719  1.00000
      1599  1.32281  1.32907  1.00000
      1600  1.32273  1.33118  1.00000
      1601  1.32538  1.33332  1.00000
      1602  1.32978  1.33555  1.00000
      1603  1.33272  1.33766  1.00000
      1604  1.33276  1.33960  1.00000
      1605  1.33407  1.34193  1.00000
      1606  1.33607  1.34407  1.00000
      1607  1.33789  1.34573  1.00000
      1608  1.34070  1.34732  1.00000
      1609  1.34065  1.34896  1.00000
      1610  1.34111  1.35060  1.00000
      1611  1.34611  1.35226  1.00000
      1612  1.34759  1.35419  1.00000
      1613  1.34891  1.35607  1.00000
      1614  1.35280  1.35770  1.00000
      1615  1.35457  1.35933  1.00000
      1616  1.35359  1.36116  1.00000
      1617  1.35353  1.36276  1.00000
      1618  1.35655  1.36400  1.00000
      1619  1.35802  1.36565  1.00000
      1620  1.36059  1.36726  1.00000
      1621  1.36389  1.36878  1.00000
      1622  1.36324  1.37060  1.00000
      1623  1.36417  1.37219  1.00000
      1624  1.36740  1.37362  1.00000
      1625  1.36999  1.37506  1.00000
      1626  1.37152  1.37637  1.00000
      1627  1.37432  1.37773  1.00000
      1628  1.37719  1.37892  1.00000
      1629  1.37644  1.37958  1.00000
      1630  1.37476  1.38031  1.00000
      1631  1.37412  1.38125  1.00000
      1632  1.37474  1.38211  1.00000
      1633  1.37572  1.38260  1.00000
      1634  1.37450  1.38307  1.00000
      1635  1.37340  1.38360  1.00000
      1636  1.37636  1.38396  1.00000
      1637  1.37822  1.38411  1.00000
      1638  1.37828  1.38403  1.00000
      1639  1.37860  1.38384  1.00000
      1640  1.37992  1.38373  1.00000
      1641  1.38013  1.38354  1.00000
      1642  1.37919  1.38311  1.00000
      1643  1.37876  1.38254  1.00000
      1644  1.37857  1.38224  1.00000
      1645  1.37804  1.38198  1.00000
      1646  1.37790  1.38152  1.00000
      1647  1.37942  1.38096  1.00000
      1648  1.37892  1.38046  1.00000
      1649  1.37611  1.38003  1.00000
      1650  1.37404  1.37954  1.00000
      1651  1.37455  1.37888  1.00000
      1652  1.37372  1.37823  1.00000
      1653  1.37178  1.37756  1.00000
      1654  1.37349  1.37681  1.00000
      1655  1.37323  1.37638  1.00000
      1656  1.37213  1.37571  1.00000
      1657  1.37276  1.37458  1.00000
      1658  1.37052  1.37379  1.00000
      1659  1.36874  1.37294  1.00000
      1660  1.36851  1.37199  1.00000
      1661  1.36700  1.37129  1.00000
      1662  1.36627  1.37029  1.00000
      1663  1.36540  1.36907  1.00000
      1664  1.36335  1.36778  1.00000
      1665  1.36226  1.36635  1.00000
      1666  1.36214  1.36510  1.00000
      1667  1.36209  1.36381  1.00000
      1668  1.36104  1.36221  1.00000
      1669  1.35820  1.36083  1.00000
      1670  1.35641  1.35944  1.00000
      1671  1.35631  1.35781  1.00000
      1672  1.35426  1.35616  1.00000
      1673  1.35210  1.35478  1.00000
      1674  1.35125  1.35346  1.00000
      1675  1.35086  1.35191  1.00000
      1676  1.34900  1.35040  1.00000
      1677  1.34702  1.34914  1.00000
      1678  1.34599  1.34775  1.00000
      1679  1.34501  1.34582  1.00000
      1680  1.34331  1.34442  1.00000
      1681  1.34047  1.34313  1.00000
      1682  1.33742  1.34140  1.00000
      1683  1.33658  1.33987  1.00000
      1684  1.33560  1.33809  1.00000
      1685  1.33404  1.33617  1.00000
      1686  1.33401  1.33451  1.00000
      1687  1.33407  1.33246  1.00000
      1688  1.33078  1.33034  1.00000
      1689  1.32582  1.32835  1.00000
      1690  1.32691  1.32595  1.00000
      1691  1.32709  1.32368  1.00000
      1692  1.32358  1.32157  1.00000
      1693  1.32017  1.31937  1.00000
      1694  1.31768  1.31725  1.00000
      1695  1.31635  1.31514  1.00000
      1696  1.31523  1.31286  1.00000
      1697  1.31251  1.31046  1.00000
      1698  1.30887  1.30836  1.00000
      1699  1.30527  1.30643  1.00000
      1700  1.30277  1.30440  1.00000
      1701  1.30239  1.30239  1.00000
      1702  1.30030  1.30049  1.00000
      1703  1.29633  1.29868  1.00000
      1704  1.29464  1.29688  1.00000
      1705  1.29336  1.29507  1.00000
      1706  1.29236  1.29314  1.00000
      1707  1.29177  1.29105  1.00000
      1708  1.28967  1.28899  1.00000
      1709  1.28815  1.28699  1.00000
      1710  1.28629  1.28508  1.00000
      1711  1.28185  1.28328  1.00000
      1712  1.27934  1.28144  1.00000
      1713  1.27908  1.27963  1.00000
      1714  1.27783  1.27789  1.00000
      1715  1.27330  1.27617  1.00000
      1716  1.27159  1.27453  1.00000
      1717  1.27216  1.27287  1.00000
      1718  1.27087  1.27110  1.00000
      1719  1.26998  1.26937  1.00000
      1720  1.26844  1.26775  1.00000
      1721  1.26581  1.26620  1.00000
      1722  1.26379  1.26465  1.00000
      1723  1.26216  1.26315  1.00000
      1724  1.26101  1.26184  1.00000
      1725  1.26032  1.26056  1.00000
      1726  1.25909  1.25891  1.00000
      1727  1.25663  1.25765  1.00000
      1728  1.25491  1.25663  1.00000
      1729  1.25574  1.25525  1.00000
      1730  1.25481  1.25411  1.00000
      1731  1.25097  1.25307  1.00000
      1732  1.24834  1.25194  1.00000
      1733  1.25188  1.25092  1.00000
      1734  1.25312  1.24980  1.00000
      1735  1.25015  1.24867  1.00000
      1736  1.24743  1.24760  1.00000
      1737  1.24620  1.24634  1.00000
      1738  1.24511  1.24511  1.00000
      1739  1.24365  1.24404  1.00000
      1740  1.24268  1.24301  1.00000
      1741  1.24155  1.24205  1.00000
      1742  1.24049  1.24112  1.00000
      1743  1.24024  1.24017  1.00000
      1744  1.24052  1.23920  1.00000
      1745  1.23842  1.23822  1.00000
      1746  1.23572  1.23727  1.00000
      1747  1.23635  1.23644  1.00000
      1748  1.23726  1.23570  1.00000
      1749  1.23656  1.23483  1.00000
      1750  1.23434  1.23393  1.00000
      1751  1.23196  1.23338  1.00000
      1752  1.23118  1.23279  1.00000
      1753  1.23055  1.23212  1.00000
      1754  1.22926  1.23151  1.00000
      1755  1.23102  1.23092  1.00000
      1756  1.23053  1.23025  1.00000
      1757  1.22796  1.22956  1.00000
      1758  1.22913  1.22893  1.00000
      1759  1.22863  1.22819  1.00000
      1760  1.22683  1.22757  1.00000
      1761  1.22640  1.22705  1.00000
      1762  1.22619  1.22624  1.00000
      1763  1.22405  1.22553  1.00000
      1764  1.22199  1.22502  1.00000
      1765  1.22286  1.22443  1.00000
      1766  1.22328  1.22360  1.00000
      1767  1.22301  1.22278  1.00000
      1768  1.22143  1.22217  1.00000
      1769  1.21755  1.22171  1.00000
      1770  1.21733  1.22106  1.00000
      1771  1.21967  1.22033  1.00000
      1772  1.22079  1.21971  1.00000
      1773  1.22188  1.21911  1.00000
      1774  1.22207  1.21869  1.00000
      1775  1.22022  1.21832  1.00000
      1776  1.21741  1.21779  1.00000
      1777  1.21791  1.21750  1.00000
      1778  1.21842  1.21716  1.00000
      1779  1.21681  1.21669  1.00000
      1780  1.21652  1.21649  1.00000
      1781  1.21514  1.21614  1.00000
      1782  1.21395  1.21566  1.00000
      1783  1.21496  1.21535  1.00000
      1784  1.21471  1.21517  1.00000
      1785  1.21457  1.21485  1.00000
      1786  1.21539  1.21441  1.00000
      1787  1.21532  1.21406  1.00000
      1788  1.21313  1.21357  1.00000
      1789  1.21178  1.21319  1.00000
      1790  1.21290  1.21301  1.00000
      1791  1.21331  1.21264  1.00000
      1792  1.21298  1.21220  1.00000
      1793  1.21293  1.21183  1.00000
      1794  1.21317  1.21159  1.00000
      1795  1.21185  1.21137  1.00000
      1796  1.21044  1.21111  1.00000
      1797  1.21078  1.21078  1.00000
      1798  1.21236  1.21043  1.00000
      1799  1.21184  1.21024  1.00000
      1800  1.21039  1.21016  1.00000
